1,Base líquida,Alta cobertura,18.75,1,2023-05-12,Base_líquida.jpg
2,Labial mate,Larga duración,12.50,2,2023-06-20,Labial_mate.png
3,Delineador negro,Resistente al agua,9.99,3,2023-07-15,Delineador_negro.jpg
4,Máscara pestañas,Volumen extremo,15.30,4,2023-08-01,Máscara_pestañas.png
5,Polvo compacto,Acabado mate,14.20,1,2023-09-10,Polvo_compacto.jpg
6,Rubor rosa,Tonos naturales,11.80,2,2023-04-22,Rubor_rosa.png
7,Sombras nude,Tonos intensos,20.00,3,2023-03-18,Sombras_nude.jpg
8,Iluminador glow,Efecto brillante,16.45,4,2023-02-14,Iluminador_glow.png
9,Corrector líquido,Alta cobertura,13.60,1,2023-01-30,Corrector_líquido.jpg
10,Primer facial,Textura ligera,17.25,2,2023-06-05,Primer_facial.png
11,Base líquida,Hidratante,19.10,1,2023-07-11,Base_líquida.jpg
12,Labial mate,Acabado mate,10.99,2,2023-08-09,Labial_mate.png
13,Delineador negro,Fácil aplicación,8.75,3,2023-09-02,Delineador_negro.jpg
14,Máscara pestañas,Larga duración,16.00,4,2023-05-25,Máscara_pestañas.png
15,Polvo compacto,Textura ligera,13.50,1,2023-04-18,Polvo_compacto.jpg
16,Rubor rosa,Acabado natural,12.20,2,2023-03-30,Rubor_rosa.png
17,Sombras nude,Alta pigmentación,21.30,3,2023-02-11,Sombras_nude.jpg
18,Iluminador glow,Efecto glow,15.90,4,2023-01-21,Iluminador_glow.png
19,Corrector líquido,Cobertura media,14.00,1,2023-06-17,Corrector_líquido.jpg
20,Primer facial,Suaviza piel,18.75,2,2023-07-29,Primer_facial.png
21,Base líquida,Larga duración,20.10,1,2023-08-15,Base_líquida.jpg
22,Labial mate,Tonos intensos,11.40,2,2023-09-01,Labial_mate.png
23,Delineador negro,Precisión alta,9.20,3,2023-05-03,Delineador_negro.jpg
24,Máscara pestañas,Volumen alto,17.10,4,2023-04-07,Máscara_pestañas.png
25,Polvo compacto,Matificante,13.90,1,2023-03-19,Polvo_compacto.jpg
26,Rubor rosa,Color suave,10.75,2,2023-02-25,Rubor_rosa.png
27,Sombras nude,Paleta completa,22.00,3,2023-01-10,Sombras_nude.jpg
28,Iluminador glow,Brillo intenso,16.80,4,2023-06-13,Iluminador_glow.png
29,Corrector líquido,Cubre ojeras,13.70,1,2023-07-04,Corrector_líquido.jpg
30,Primer facial,Control grasa,19.25,2,2023-08-20,Primer_facial.png
31,Base líquida,Acabado natural,18.95,1,2023-09-11,Base_líquida.jpg
32,Labial mate,Duración larga,12.10,2,2023-05-27,Labial_mate.png
33,Delineador negro,Waterproof,8.99,3,2023-04-14,Delineador_negro.jpg
34,Máscara pestañas,Pestañas largas,16.70,4,2023-03-06,Máscara_pestañas.png
35,Polvo compacto,Control brillo,14.60,1,2023-02-17,Polvo_compacto.jpg
36,Rubor rosa,Textura suave,11.95,2,2023-01-28,Rubor_rosa.png
37,Sombras nude,Tonos cálidos,20.80,3,2023-06-09,Sombras_nude.jpg
38,Iluminador glow,Luminosidad alta,15.60,4,2023-07-22,Iluminador_glow.png
39,Corrector líquido,Alta duración,13.30,1,2023-08-30,Corrector_líquido.jpg
40,Primer facial,Base perfecta,18.40,2,2023-09-05,Primer_facial.png
41,Base líquida,Cobertura total,21.00,1,2023-05-16,Base_líquida.jpg
42,Labial mate,Color intenso,11.75,2,2023-04-03,Labial_mate.png
43,Delineador negro,Trazo fino,9.10,3,2023-03-12,Delineador_negro.jpg
44,Máscara pestañas,Efecto volumen,17.50,4,2023-02-20,Máscara_pestañas.png
45,Polvo compacto,Acabado suave,14.10,1,2023-01-15,Polvo_compacto.jpg
46,Rubor rosa,Tono natural,12.00,2,2023-06-01,Rubor_rosa.png
47,Sombras nude,Colores neutros,21.50,3,2023-07-18,Sombras_nude.jpg
48,Iluminador glow,Brillo suave,16.20,4,2023-08-27,Iluminador_glow.png
49,Corrector líquido,Oculta imperfecciones,13.90,1,2023-09-09,Corrector_líquido.jpg
50,Primer facial,Prebase ideal,19.00,2,2023-05-08,Primer_facial.png
